"","SKEP","Year","Fno","Identifier","DVS","DVS2","WS","WS2","Wstress"
"124","SKEPI",2010,"Field 59","SKP-TH-SUP-DB-WS2010-9","40",70,4,4,-1
"125","SKEPI",2010,"Field 60","SKP-TH-SUP-DB-WS2010-10","40",70,4,4,-1
"126","SKEPI",2010,"Field 61","SKP-TH-SUP-DB-WS2010-11","40",70,4,4,-1
"127","SKEPI",2010,"Field 62","SKP-TH-SUP-DON-WS2010-12","40",70,4,4,-1
"128","SKEPI",2010,"Field 63","SKP-TH-SUP-DON-WS2010-13","40",70,4,4,-1
"129","SKEPI",2010,"Field 64","SKP-TH-SUP-DON-WS2010-14","40",70,4,4,-1
"130","SKEPI",2010,"Field 65","SKP-TH-SUP-DON-WS2010-15","40",70,4,4,-1
"131","SKEPI",2010,"Field 66","SKP-TH-SUP-DON-WS2010-16","40",70,4,4,-1
"132","SKEPI",2010,"Field 67","SKP-TH-SUP-DON-WS2010-17","40",70,4,4,-1
"133","SKEPI",2010,"Field 68","SKP-TH-SUP-DON-WS2010-18","40",70,4,4,-1
"134","SKEPI",2010,"Field 69","SKP-TH-SUP-DON-WS2010-19","40",70,4,4,-1
"135","SKEPI",2010,"Field 70","SKP-TH-SUP-DON-WS2010-20","40",70,4,4,-1
"136","SKEPI",2011,"Field 141","SKP-TH-ANG-WIS-WS2011-1","40",70,4,1,-1
"137","SKEPI",2011,"Field 142","SKP-TH-ANG-PHO-WS2011-2","40",70,1,1,-1
"138","SKEPI",2011,"Field 143","SKP-TH-ANG-PHO-WS2011-3","40",70,4,2,-1
"139","SKEPI",2011,"Field 144","SKP-TH-ANG-PHO-WS2011-4","40",70,9,2,0
"140","SKEPI",2011,"Field 145","SKP-TH-ANG-PHO-WS2011-5","40",70,2,2,-1
"141","SKEPI",2011,"Field 146","SKP-TH-PHK-PHR-WS2011-6","40",70,5,2,-1
"142","SKEPI",2011,"Field 147","SKP-TH-PHK-PHR-WS2011-7","40",70,5,1,-1
"143","SKEPI",2011,"Field 148","SKP-TH-PHK-PHR-WS2011-8","40",70,4,4,-1
"144","SKEPI",2011,"Field 149","SKP-TH-PHK-PHR-WS2011-9","40",70,4,4,-1
"145","SKEPI",2011,"Field 150","SKP-TH-PHK-PHR-WS2011-10","40",70,1,1,-1
"146","SKEPI",2011,"Field 151","SKP-TH-SUK-KON-WS2011-11","40",70,5,1,-1
"147","SKEPI",2011,"Field 152","SKP-TH-SUP-NON-WS2011-12","40",70,9,4,0
"148","SKEPI",2011,"Field 153","SKP-TH-SUP-DB-WS2011-13","40",70,2,1,-1
"149","SKEPI",2011,"Field 154","SKP-TH-SUP-SRI-WS2011-14","40",70,4,4,-1
"150","SKEPI",2011,"Field 155","SKP-TH-ANG-MUA-WS2011-15","40",70,5,1,-1
"151","SKEPI",2011,"Field 156","SKP-TH-SUP-SRI-WS2011-16","40",70,6,6,-1
"152","SKEPI",2011,"Field 157","SKP-TH-SUP-SRI-WS2011-17","40",70,6,6,-1
"153","SKEPI",2011,"Field 158","SKP-TH-SUP-SRI-WS2011-18","40",70,6,6,-1
"154","SKEPI",2011,"Field 159","SKP-TH-SUP-SRI-WS2011-19","40",70,6,6,-1
"155","SKEPI",2011,"Field 160","SKP-TH-SUP-SRI-WS2011-20","40",70,6,6,-1
"156","SKEPI",2011,"Field 161","SKP-TH-SUP-SRI-WS2011-21","40",70,6,6,-1
"157","SKEPI",2011,"Field 162","SKP-TH-SUP-SRI-WS2011-22","40",70,6,6,-1
"158","SKEPI",2011,"Field 163","SKP-TH-SUP-SRI-WS2011-23","40",70,6,6,-1
"159","SKEPI",2011,"Field 164","SKP-TH-SUP-SRI-WS2011-24","40",70,6,6,-1
"160","SKEPI",2011,"Field 165","SKP-TH-SUP-SRI-WS2011-25","40",70,6,6,-1
"161","SKEPI",2011,"Field 166","SKP-TH-SUP-SRI-WS2011-26","40",70,6,6,-1
"162","SKEPI",2011,"Field 167","SKP-TH-SUP-SRI-WS2011-27","40",70,6,6,-1
"163","SKEPI",2011,"Field 168","SKP-TH-SUP-SRI-WS2011-28","40",70,6,6,-1
"164","SKEPI",2011,"Field 169","SKP-TH-SUP-SRI-WS2011-29","40",70,6,6,-1
"165","SKEPI",2011,"Field 170","SKP-TH-SUP-SRI-WS2011-30","40",70,6,6,-1
"166","SKEPI",2011,"Field 171","SKP-TH-SUP-SRI-WS2011-31","40",70,6,6,-1
"167","SKEPI",2011,"Field 172","SKP-TH-SUP-SRI-WS2011-32","40",70,6,6,-1
"168","SKEPI",2011,"Field 173","SKP-TH-SUP-SRI-WS2011-33","40",70,6,6,-1
"169","SKEPI",2011,"Field 174","SKP-TH-SUP-SRI-WS2011-34","40",70,6,6,-1
"170","SKEPI",2011,"Field 175","SKP-TH-SUP-SRI-WS2011-35","40",70,6,6,-1
"171","SKEPI",2011,"Field 176","SKP-TH-SUP-SRI-WS2011-36","40",70,6,6,-1
"172","SKEPI",2011,"Field 177","SKP-TH-SUP-SRI-WS2011-37","40",70,6,6,-1
"173","SKEPI",2011,"Field 178","SKP-TH-SUP-SRI-WS2011-38","40",70,6,6,-1
"174","SKEPI",2011,"Field 179","SKP-TH-SUP-SRI-WS2011-39","40",70,6,6,-1
"175","SKEPI",2011,"Field 180","SKP-TH-SUP-SRI-WS2011-40","40",70,6,6,-1
"176","SKEPI",2011,"Field 181","SKP-TH-SUP-SRI-WS2011-41","40",70,1,6,-1
"177","SKEPI",2011,"Field 182","SKP-TH-SUP-SRI-WS2011-42","40",70,6,6,-1
"178","SKEPI",2011,"Field 183","SKP-TH-SUP-SRI-WS2011-43","40",70,6,6,-1
"179","SKEPI",2011,"Field 184","SKP-TH-SUP-SRI-WS2011-44","40",70,6,6,-1
"180","SKEPI",2011,"Field 185","SKP-TH-SUP-SRI-WS2011-45","40",70,6,6,-1
"181","SKEPI",2010,"Field 71","SKP-ID-WJ-CIK-WS2010-1","30",90,7,3,0
"182","SKEPI",2010,"Field 72","SKP-ID-WJ-PAM-WS2010-2","50",90,5,2,-1
"183","SKEPI",2010,"Field 73","SKP-ID-WJ-PUR-WS2010-3","60",90,7,2,0
"184","SKEPI",2010,"Field 74","SKP-ID-WJ-PUR-WS2010-4","20",90,8,2,-1
"185","SKEPI",2010,"Field 75","SKP-ID-WJ-PUR-WS2010-5","30",90,7,3,0
"186","SKEPI",2010,"Field 76","SKP-ID-WJ-CIK-WS2010-6","50",90,9,3,0
"187","SKEPI",2010,"Field 77","SKP-ID-WJ-SUB-WS2010-7","30",50,7,5,0
"188","SKEPI",2010,"Field 78","SKP-ID-WJ-PUR-WS2010-8","20",90,9,2,0
"189","SKEPI",2010,"Field 80","SKP-ID-WJ-GAR-WS2010-10","40",90,4,7,-1
"190","SKEPI",2010,"Field 82","SKP-ID-WJ-WAN-WS2010-12","30",100,7,3,0
"191","SKEPI",2010,"Field 83","SKP-ID-WJ-PUR-WS2010-13","20",90,4,3,-1
"192","SKEPI",2010,"Field 84","SKP-ID-WJ-SUK-WS2010-14","30",70,9,5,0
"193","SKEPI",2010,"Field 85","SKP-ID-WJ-CIK-WS2010-15","50",90,7,7,0
"194","SKEPI",2010,"Field 86","SKP-ID-WJ-CIK-WS2010-16","50",90,5,7,-1
"195","SKEPI",2010,"Field 87","SKP-ID-WJ-CIK-WS2010-17","30",85,5,3,-1
"196","SKEPI",2010,"Field 91","SKP-ID-WJ-CIK-WS2010-21","40",100,9,5,0
"197","SKEPI",2010,"Field 92","SKP-ID-WJ-GAR-WS2010-22","40",100,7,6,0
"198","SKEPI",2010,"Field 93","SKP-ID-WJ-GAR-WS2010-23","80",100,8,2,0
"199","SKEPI",2010,"Field 94","SKP-ID-WJ-GAR-WS2010-24","40",100,7,5,0
"200","SKEPI",2010,"Field 95","SKP-ID-WJ-GAR-WS2010-25","40",100,7,7,0
"201","SKEPI",2010,"Field 101","SKP-IN-ERO-SEN-WS2010-1","50",90,2,7,-1
"202","SKEPI",2010,"Field 102","SKP-IN-ERO-MET-WS2010-2","50",90,5,9,-1
"203","SKEPI",2010,"Field 103","SKP-IN-ERO-MKD-WS2010-3","50",90,2,7,-1
"204","SKEPI",2010,"Field 104","SKP-IN-ERO-KET-WS2010-4","50",90,2,2,-1
"205","SKEPI",2010,"Field 105","SKP-IN-ERO-KUN-WS2010-5","50",90,7,7,0
"206","SKEPI",2010,"Field 106","SKP-IN-ERO-MAR-WS2010-6","50",90,6,6,-1
"207","SKEPI",2010,"Field 107","SKP-IN-ERO-MLL-WS2010-7","50",90,2,2,-1
"208","SKEPI",2010,"Field 108","SKP-IN-ERO-VED-WS2010-8","50",90,3,6,-1
"209","SKEPI",2010,"Field 109","SKP-IN-ERO-NAC-WS2010-9","50",90,5,5,-1
"210","SKEPI",2010,"Field 110","SKP-IN-ERO-JAL-WS2010-10","50",90,3,5,-1
"211","SKEPI",2010,"Field 111","SKP-IN-ERO-UKK-WS2010-11","50",90,2,7,-1
"212","SKEPI",2010,"Field 112","SKP-IN-ERO-THA-WS2010-12","50",90,2,7,-1
"213","SKEPI",2010,"Field 113","SKP-IN-ERO-PAZ-WS2010-13","50",90,6,7,-1
"214","SKEPI",2010,"Field 114","SKP-IN-ERO-THA-WS2010-14","50",90,2,3,-1
"215","SKEPI",2010,"Field 115","SKP-IN-ERO-PUL-WS2010-15","50",90,6,7,-1
"216","SKEPI",2010,"Field 116","SKP-IN-ERO-RAN-WS2010-16","50",90,6,6,-1
"217","SKEPI",2010,"Field 117","SKP-IN-ERO-MET-WS2010-17","50",90,2,8,-1
"218","SKEPI",2010,"Field 118","SKP-IN-ERO-SEN-WS2010-18","50",90,6,6,-1
"219","SKEPI",2010,"Field 119","SKP-IN-ERO-MET-WS2010-19","50",90,2,7,-1
"220","SKEPI",2010,"Field 120","SKP-IN-ERO-PER-WS2010-20","50",90,6,7,-1
"221","SKEPI",2011,"Field 186","SKP-ID-WJ-SUM-DS2011-1","60",100,3,1,-1
"222","SKEPI",2011,"Field 187","SKP-ID-WJ-SUM-DS2011-2","60",100,5,2,-1
"223","SKEPI",2011,"Field 188","SKP-ID-WJ-SUM-DS2011-3","40",100,3,2,-1
"224","SKEPI",2011,"Field 189","SKP-ID-WJ-SUM-DS2011-4","40",100,6,6,-1
"225","SKEPI",2011,"Field 190","SKP-ID-WJ-SUM-DS2011-5","60",100,3,1,-1
"226","SKEPI",2011,"Field 191","SKP-ID-WJ-SUM-DS2011-6","40",90,5,2,-1
"227","SKEPI",2011,"Field 192","SKP-ID-WJ-SUM-DS2011-7","50",90,1,1,-1
"228","SKEPI",2011,"Field 193","SKP-ID-WJ-CIR-DS2011-8","50",90,4,1,-1
"229","SKEPI",2011,"Field 194","SKP-ID-WJ-KUN-DS2011-9","70",90,5,2,0
"230","SKEPI",2011,"Field 195","SKP-ID-WJ-KUN-DS2011-10","40",90,6,3,-1
"231","SKEPI",2011,"Field 196","SKP-ID-WJ-KUN-DS2011-11","50",90,7,2,0
"232","SKEPI",2011,"Field 197","SKP-ID-WJ-MAJ-DS2011-12","40",90,7,3,0
"233","SKEPI",2011,"Field 198","SKP-ID-WJ-MAJ-DS2011-13","50",100,7,2,0
"234","SKEPI",2011,"Field 199","SKP-ID-WJ-MAJ-DS2011-14","40",90,6,2,-1
"235","SKEPI",2011,"Field 200","SKP-ID-WJ-MAJ-DS2011-15","40",90,6,2,-1
"236","SKEPI",2011,"Field 201","SKP-ID-WJ-MAJ-DS2011-16","50",90,4,1,-1
"237","SKEPI",2011,"Field 202","SKP-ID-WJ-GAR-DS2011-17","40",90,6,1,-1
"238","SKEPI",2011,"Field 203","SKP-ID-WJ-GAR-DS2011-18","40",90,7,4,0
"239","SKEPI",2011,"Field 204","SKP-ID-WJ-GAR-DS2011-19","70",100,2,1,-1
"240","SKEPI",2011,"Field 205","SKP-ID-WJ-GAR-DS2011-20","40",90,7,2,0
"241","SKEPI",2011,"Field 206","SKP-ID-WJ-GAR-DS2011-21","50",100,7,2,0
"242","SKEPI",2011,"Field 207","SKP-ID-WJ-KUN-DS2011-22","40",90,1,1,-1
"243","SKEPI",2011,"Field 208","SKP-ID-WJ-CIA-DS2011-23","50",90,2,1,-1
"244","SKEPI",2011,"Field 209","SKP-ID-WJ-CIA-DS2011-24","60",100,7,6,0
"245","SKEPI",2011,"Field 210","SKP-ID-WJ-CIA-DS2011-25","40",90,7,4,0
"246","SKEPI",2011,"Field 211","SKP-ID-WJ-CIA-DS2011-26","80",100,7,2,0
"247","SKEPI",2011,"Field 212","SKP-ID-WJ-CIA-DS2011-27","40",90,7,3,0
"248","SKEPI",2011,"Field 213","SKP-ID-WJ-CIA-DS2011-28","40",100,9,3,0
"249","SKEPI",2011,"Field 214","SKP-ID-WJ-GAR-DS2011-29","40",90,7,3,0
"250","SKEPI",2011,"Field 215","SKP-ID-WJ-KEC-DS2011-30","40",90,7,2,0
"251","SKEPI",2011,"Field 216","SKP-ID-WJ-BAN-DS2011-31","40",90,6,2,-1
"252","SKEPI",2011,"Field 217","SKP-ID-WJ-SUM-DS2011-32","40",90,2,2,-1
"253","SKEPI",2011,"Field 218","SKP-ID-WJ-BAN-DS2011-33","40",100,7,3,0
"254","SKEPI",2011,"Field 219","SKP-ID-WJ-BAN-DS2011-34","40",100,3,2,-1
"255","SKEPI",2011,"Field 220","SKP-ID-WJ-BAN-DS2011-35","40",100,3,1,-1
"256","SKEPI",2011,"Field 221","SKP-ID-WJ-CNJ-DS2011-36","40",90,3,3,-1
"257","SKEPI",2011,"Field 222","SKP-ID-WJ-CNJ-DS2011-37","40",100,2,2,-1
"258","SKEPI",2011,"Field 223","SKP-ID-WJ-CNJ-DS2011-38","40",90,7,2,0
"259","SKEPI",2011,"Field 224","SKP-ID-WJ-CNJ-DS2011-39","40",100,6,3,-1
"260","SKEPI",2011,"Field 225","SKP-ID-WJ-CNJ-DS2011-40","40",90,7,2,0
"261","SKEPI",2011,"Field 226","SKP-ID-WJ-SUK-DS2011-41","40",90,6,2,-1
"262","SKEPI",2011,"Field 227","SKP-ID-WJ-SUK-DS2011-42","40",90,6,3,-1
"263","SKEPI",2011,"Field 228","SKP-ID-WJ-CNJ-DS2011-43","40",90,3,1,-1
"264","SKEPI",2011,"Field 229","SKP-ID-WJ-BOG-DS2011-44","40",90,6,3,-1
"265","SKEPI",2011,"Field 230","SKP-ID-WJ-BOG-DS2011-45","40",90,7,2,0
"266","SKEPI",2011,"Field 231","SKP-ID-WJ-BAR-DS2011-46","40",90,7,3,0
"267","SKEPI",2011,"Field 232","SKP-ID-WJ-BEK-DS2011-47","40",90,7,3,0
"268","SKEPI",2011,"Field 233","SKP-ID-WJ-BEK-DS2011-48","40",90,7,3,0
"269","SKEPI",2011,"Field 234","SKP-ID-WJ-BEK-DS2011-49","40",100,7,2,0
"270","SKEPI",2011,"Field 235","SKP-ID-WJ-BEK-DS2011-50","40",100,7,1,0
"271","SKEPI",2011,"Field 236","SKP-ID-WJ-BOG-DS2011-51","40",90,6,2,-1
"272","SKEPI",2011,"Field 237","SKP-ID-WJ-BOG-DS2011-52","40",90,7,1,0
"273","SKEPI",2011,"Field 238","SKP-ID-WJ-BOG-DS2011-53","40",100,7,4,0
"274","SKEPI",2011,"Field 239","SKP-ID-WJ-BOG-DS2011-54","40",90,1,1,-1
"275","SKEPI",2011,"Field 240","SKP-ID-WJ-BOG-DS2011-55","40",100,6,2,-1
"276","SKEPI",2011,"Field 241","SKP-ID-WJ-BOG-DS2011-56","40",90,6,2,-1
"277","SKEPI",2011,"Field 242","SKP-ID-WJ-BOG-DS2011-57","40",90,2,2,-1
"278","SKEPI",2011,"Field 243","SKP-ID-WJ-CNJ-DS2011-58","40",90,6,2,-1
"279","SKEPI",2011,"Field 244","SKP-ID-WJ-BAN-DS2011-59","40",90,6,2,-1
